Month,Day,Steps
January,Monday,3414
January,Tuesday,3636
January,Wednesday,3772
January,Thursday,6263
January,Friday,6561
January,Saturday,3200
January,Sunday,2420
January,Monday,5912
January,Tuesday,7189
January,Wednesday,6566
January,Thursday,6689
January,Friday,6948
January,Saturday,3003
January,Sunday,3451
January,Monday,5992
January,Tuesday,5050
January,Wednesday,5521
January,Thursday,5740
January,Friday,6516
January,Saturday,2707
January,Sunday,2310
January,Monday,5990
January,Tuesday,7702
January,Wednesday,7501
January,Thursday,4325
January,Friday,7934
January,Saturday,1481
January,Sunday,2528
January,Monday,7131
January,Tuesday,4904
January,Wednesday,7336
February,Thursday,5476
February,Friday,6780
February,Saturday,4347
February,Sunday,3251
February,Monday,7205
February,Tuesday,3644
February,Wednesday,7673
February,Thursday,4997
February,Friday,5798
February,Saturday,2452
February,Sunday,2234
February,Monday,7433
February,Tuesday,5878
February,Wednesday,6614
February,Thursday,4270
February,Friday,6491
February,Saturday,2502
February,Sunday,3302
February,Monday,4725
February,Tuesday,4310
February,Wednesday,7044
February,Thursday,13386
February,Friday,6930
February,Saturday,1277
February,Sunday,1467
February,Monday,5185
February,Tuesday,6603
February,Wednesday,8150
March,Thursday,7088
March,Friday,10851
March,Saturday,9050