Year,Team,Wins,Playoffs
2017,BOS,93,1
2017,NYY,91,1
2017,TB,80,0
2017,TOR,76,0
2017,BAL,75,0
2017,CLE,102,1
2017,MIN,85,1
2017,KC,80,0
2017,CWS,67,0
2017,DET,64,0
2017,HOU,101,1
2017,LAA,80,0
2017,SEA,78,0
2017,TEX,78,0
2017,OAK,75,0
2017,WAS,97,1
2017,MIA,77,0
2017,ATL,72,0
2017,NYM,70,0
2017,PHI,66,0
2017,CHC,92,1
2017,MIL,86,0
2017,STL,83,0
2017,PIT,75,0
2017,CIN,68,0
2017,LAD,104,1
2017,ARI,93,1
2017,COL,87,1
2017,SD,71,0
2017,SF,64,0
2016,BOS,93,1
2016,BAL,89,1
2016,TOR,89,1
2016,NYY,84,0
2016,TB,68,0
2016,CLE,94,1
2016,DET,86,0
2016,KC,81,0
2016,CWS,78,0
2016,MIN,59,0
2016,TEX,95,1
2016,SEA,86,0
2016,HOU,84,0
2016,LAA,74,0
2016,OAK,69,0
2016,WAS,95,1
2016,NYM,87,1
2016,MIA,79,0
2016,PHI,71,0
2016,ATL,68,0
2016,CHC,103,1
2016,STL,86,0
2016,PIT,78,0
2016,MIL,73,0
2016,CIN,68,0
2016,LAD,91,1
2016,SF,87,1
2016,COL,75,0
2016,ARI,69,0
2016,SD,68,0
2015,TOR,93,1
2015,NYY,87,1
2015,BAL,81,0
2015,TB,80,0
2015,BOS,78,0
2015,KC,95,1
2015,MIN,83,0
2015,CLE,81,0
2015,CWS,76,0
2015,DET,74,0
2015,TEX,88,1
2015,HOU,86,1
2015,LAA,85,0
2015,SEA,76,0
2015,OAK,68,0
2015,NYM,90,1
2015,WAS,83,0
2015,MIA,71,0
2015,ATL,67,0
2015,PHI,63,0
2015,STL,100,1
2015,PIT,98,1
2015,CHC,97,1
2015,MIL,68,0
2015,CIN,64,0
2015,LAD,92,1
2015,SF,84,0
2015,ARI,79,0
2015,SD,74,0
2015,COL,68,0
2014,BAL,96,1
2014,NYY,84,0
2014,TOR,83,0
2014,TB,77,0
2014,BOS,71,0
2014,DET,90,1
2014,KC,89,1
2014,CLE,85,0
2014,CWS,73,0
2014,MIN,70,0
2014,LAA,98,1
2014,OAK,88,1
2014,SEA,87,0
2014,HOU,70,0
2014,TEX,67,0
2014,WAS,96,1
2014,ATL,79,0
2014,NYM,79,0
2014,MIA,77,0
2014,PHI,73,0
2014,STL,90,1
2014,PIT,88,1
2014,MIL,82,0
2014,CIN,76,0
2014,CHC,73,0
2014,LAD,94,1
2014,SF,88,1
2014,SD,77,0
2014,COL,66,0
2014,ARI,64,0
2013,BOS,97,1
2013,TB,92,1
2013,BAL,85,0
2013,NYY,85,0
2013,TOR,74,0
2013,DET,93,1
2013,CLE,92,1
2013,KC,86,0
2013,MIN,66,0
2013,CWS,63,0
2013,OAK,96,1
2013,TEX,91,0
2013,LAA,78,0
2013,SEA,71,0
2013,HOU,51,0
2013,ATL,96,1
2013,WAS,86,0
2013,NYM,74,0
2013,PHI,73,0
2013,MIA,62,0
2013,STL,97,1
2013,PIT,94,1
2013,CIN,90,1
2013,MIL,74,0
2013,CHC,66,0
2013,LAD,92,1
2013,ARI,81,0
2013,SD,6,0
2013,SF,76,0
2013,COL,74,0
2012,NYY,95,1
2012,BAL,93,1
2012,TB,90,0
2012,TOR,73,0
2012,BOS,69,0
2012,DET,88,1
2012,CWS,85,0
2012,KC,72,0
2012,CLE,68,0
2012,MIN,66,0
2012,OAK,94,1
2012,TEX,93,1
2012,LAA,89,0
2012,SEA,75,0
2012,WAS,98,1
2012,ATL,94,1
2012,PHI,81,0
2012,NYM,74,0
2012,MIA,69,0
2012,CIN,97,1
2012,STL,88,1
2012,MIL,83,0
2012,PIT,79,0
2012,CHC,61,0
2012,HOU,55,0
2012,SF,94,1
2012,LAD,86,0
2012,ARI,81,0
2012,SD,76,0
2012,COL,64,0
2011,NYY,97,1
2011,TB,91,1
2011,BOS,90,0
2011,TOR,81,0
2011,BAL,69,0
2011,DET,95,1
2011,CLE,80,0
2011,CWS,79,0
2011,KC,71,0
2011,MIN,63,0
2011,TEX,96,1
2011,LAA,86,0
2011,OAK,74,0
2011,SEA,67,0
2011,PHI,102,1
2011,ATL,89,0
2011,WAS,80,0
2011,NYM,77,0
2011,FLO,72,0
2011,MIL,96,1
2011,STL,90,1
2011,CIN,79,0
2011,PIT,72,0
2011,CHC,71,0
2011,HOU,56,0
2011,ARI,94,1
2011,SF,86,0
2011,LAD,82,0
2011,COL,73,0
2011,SD,71,0